,countyr_code,alpha3code,country,country_name,date,deaths,epiweek_onset,imported_cases,lab_confirmed_cases,nombre_pais,num_country_code,num_country_code2,num_gbs,num_gbs_with_zika,num_records,num_microcephaly_associated,other_neuro_complications,other_source_transmission,pregnant_women,report_epi_week,severe_cases,sovereign,status,sub_region,suspected_cases,suspect_cases_bin,total_cases,total_cases_bin,year
17,GTM,GTM,Guatemala,Guatemala,"January, 2016",0.0,0.0,0.0,37,Guatemala,320.0,320.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,0.0,Guatemala,Member State,Central America,78,0K,11500%,0%,2016.0
18,GTM,GTM,Guatemala,Guatemala,"January, 2016",0.0,0.0,0.0,0,Guatemala,320.0,320.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,Guatemala,Member State,Central America,0,0K,0%,0%,2016.0
19,GTM,GTM,Guatemala,Guatemala,"January, 2016",0.0,0.0,0.0,0,Guatemala,320.0,320.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,0.0,Guatemala,Member State,Central America,0,0K,0%,0%,2016.0
20,GTM,GTM,Guatemala,Guatemala,"February, 2016",0.0,0.0,0.0,0,Guatemala,320.0,320.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,0.0,Guatemala,Member State,Central America,0,0K,0%,0%,2016.0
0,GUY,GUY,Guyana,Guyana,"October, 2015",0.0,0.0,0.0,0,Guyana,328.0,328.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,40,0.0,Guyana,Member State,Non Latin Caribbean,0,0K,0%,0%,2015.0
1,GUY,GUY,Guyana,Guyana,"October, 2015",0.0,0.0,0.0,0,Guyana,328.0,328.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41,0.0,Guyana,Member State,Non Latin Caribbean,0,0K,0%,0%,2015.0
2,GUY,GUY,Guyana,Guyana,"October, 2015",0.0,0.0,0.0,0,Guyana,328.0,328.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42,0.0,Guyana,Member State,Non Latin Caribbean,0,0K,0%,0%,2015.0
3,GUY,GUY,Guyana,Guyana,"October, 2015",0.0,0.0,0.0,0,Guyana,328.0,328.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43,0.0,Guyana,Member State,Non Latin Caribbean,0,0K,0%,0%,2015.0
4,GUY,GUY,Guyana,Guyana,"November, 2015",0.0,0.0,0.0,0,Guyana,328.0,328.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,44,0.0,Guyana,Member State,Non Latin Caribbean,0,0K,0%,0%,2015.0
5,GUY,GUY,Guyana,Guyana,"November, 2015",0.0,0.0,0.0,0,Guyana,328.0,328.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45,0.0,Guyana,Member State,Non Latin Caribbean,0,0K,0%,0%,2015.0
